Time (sec),Voltage (V),AccX (m/s^2),AccY (m/s^2),Gyro (deg/sec),Gyro45(deg/sec),Theta (deg)
3.64,0,-2.7546,9.42931,43.5059,43.7183,-15.8422
3.65,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
3.66,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
3.67,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
3.68,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
3.69,0,-2.65796,9.42931,43.5059,43.3642,-15.8422
3.7,0,-2.65796,9.42931,43.5059,43.3642,-15.8422
3.71,0,-2.65796,9.42931,43.5059,43.3642,-15.8422
3.72,0,-2.65796,9.42931,43.5059,43.3642,-15.8422
3.73,0,-2.65796,9.42931,43.5059,43.3642,-15.8422
3.74,0,-2.65796,9.42931,43.5059,43.3642,-15.8422
3.75,0,-2.56131,9.42931,43.5059,43.3642,-15.8422
3.76,-0,-2.56131,9.42931,43.5059,43.7183,-15.8422
3.77,-0,-2.56131,9.42931,43.5059,43.7183,-15.8422
3.78,-0,-2.56131,9.42931,43.5059,44.0725,-15.8422
3.79,-0,-2.56131,9.42931,43.5059,44.0725,-15.8422
3.8,-0,-2.65796,9.42931,43.5059,44.0725,-15.8422
3.81,-0,-2.65796,9.42931,43.5059,44.0725,-15.8422
3.82,-0,-2.65796,9.42931,43.5059,44.0725,-15.8422
3.83,-0,-2.65796,9.42931,43.5059,44.0725,-15.8422
3.84,-0,-2.65796,9.42931,43.5059,44.0725,-15.8422
3.85,-0,-2.65796,9.42931,43.5059,44.0725,-15.8422
3.86,-0,-2.65796,9.42931,43.5059,44.0725,-15.8422
3.87,-0,-2.65796,9.42931,43.5059,44.4266,-15.8422
3.88,-0,-2.65796,9.42931,43.5059,44.0725,-15.8422
3.89,-0,-2.7546,9.42931,43.5059,44.4266,-15.8422
3.9,-0,-2.7546,9.42931,43.5059,44.0725,-15.8422
3.91,-0,-2.7546,9.42931,43.5059,43.7183,-15.8422
3.92,-0,-2.7546,9.42931,43.5059,43.7183,-15.8422
3.93,-0,-2.65796,9.42931,43.5059,43.7183,-15.8422
3.94,-0,-2.56131,9.42931,43.5059,43.7183,-15.8422
3.95,-0,-2.46467,9.42931,43.5059,43.7183,-15.8422
3.96,-0,-2.56131,9.42931,43.5059,44.4266,-15.8422
3.97,-0,-2.56131,9.42931,43.5059,44.4266,-15.8422
3.98,-0,-2.65796,9.42931,43.5059,44.4266,-15.8422
3.99,-0,-2.65796,9.42931,43.5059,44.4266,-15.8422
4,-0,-2.7546,9.42931,43.5059,44.4266,-15.8422
4.01,0,-2.7546,9.42931,43.5059,44.0725,-15.8422
4.02,0,-2.7546,9.42931,43.5059,44.0725,-15.8422
4.03,0,-2.7546,9.42931,43.5059,44.0725,-15.8422
4.04,0,-2.7546,9.42931,43.5059,44.0725,-15.8422
4.05,0,-2.65796,9.42931,43.5059,44.0725,-15.8422
